domain, useragent, type, directory 
dailymail.co.uk, *, disallow, /home/christmas/*
dailymail.co.uk, *, disallow, /home/scotland/*
dailymail.co.uk, *, disallow, /*jsessionid*
dailymail.co.uk, *, disallow, /*createthread.html
dailymail.co.uk, *, disallow, /*debatesearchresults.html
dailymail.co.uk, *, disallow, /*debatetagsearch.html
dailymail.co.uk, *, disallow, /*debateusersearch.html
dailymail.co.uk, *, disallow, /*login?redirectpath=
dailymail.co.uk, *, disallow, /*logout?redirectpath=
dailymail.co.uk, *, disallow, /*mystories.html$
dailymail.co.uk, *, disallow, /*nextthread.html
dailymail.co.uk, *, disallow, /*previousthread.html
dailymail.co.uk, *, disallow, /*questionid*
dailymail.co.uk, *, disallow, /*selectedimage*
dailymail.co.uk, *, disallow, /*textbased/channel
dailymail.co.uk, *, disallow, /*threadindex=*
dailymail.co.uk, *, disallow, /*topgallery*
dailymail.co.uk, *, disallow, /ce/item.cms*
dailymail.co.uk, *, disallow, /dailymail/
dailymail.co.uk, *, disallow, /debate/polls/poll.html$
dailymail.co.uk, *, disallow, /destinations/
dailymail.co.uk, *, disallow, /guide/*
dailymail.co.uk, *, disallow, /home/sitemaparchive/static$
dailymail.co.uk, *, disallow, /link/index.html*
dailymail.co.uk, *, disallow, /mailshopqa/*
dailymail.co.uk, *, disallow, /site=dm/
dailymail.co.uk, *, disallow, /sport/columnist-1000543/hatchet-man.rss
dailymail.co.uk, *, disallow, /sport/columnist-1031773/andy-roddick.rss
dailymail.co.uk, *, disallow, /sport/columnist-1046072/glenn-hoddle.rss
dailymail.co.uk, *, disallow, /sport/columnist-1060209/jake-humphrey.rss
dailymail.co.uk, *, disallow, /sport/columnist-353/sir-bobby-robson.rss
dailymail.co.uk, *, disallow, /sport/columnist-354/ian-ridley--mail-sunday-sports-reporter.rss
dailymail.co.uk, *, disallow, /sport/columnist-1043711/mark-jeffreys.rss
dailymail.co.uk, *, disallow, /sport/columnist-423/dan-king.rss
dailymail.co.uk, *, disallow, /sport/columnist-352/monty-panesar.rss
dailymail.co.uk, *, disallow, /sudoku*
dailymail.co.uk, *, disallow, /travel/enjoyengland/index.rss
dailymail.co.uk, *, disallow, /travel/visitcornwall/index.html
dailymail.co.uk, *, disallow, /tvshowbiz/tvlistings/*
dailymail.co.uk, *, disallow, /weather.html*
dailymail.co.uk, *, disallow, /weather/weather_landing_page.html*
dailymail.co.uk, *, disallow, /ukplus/*
dailymail.co.uk, *, disallow, /*/chat/*
dailymail.co.uk, *, disallow, /app/
dailymail.co.uk, *, disallow, /home/prmts/*
dailymail.co.uk, *, disallow, /home/sweepstakes/*
dailymail.co.uk, *, disallow, /beta/*
dailymail.co.uk, *, disallow, /home/canneslions/index.html
dailymail.co.uk, *, disallow, /cms/sites/all/modules/ckeditor_link/proxy.php*
dailymail.co.uk, *, disallow, /%20user/view.php*
dailymail.co.uk, *, disallow, /worldhome/*
dailymail.co.uk, *, disallow, /home/search.html*
dailymail.co.uk, googlebot-news, disallow, /money/*
dailymail.co.uk, googlebot-news, disallow, /tmoney/*
dailymail.co.uk, mediapartners-google, disallow, 
dailymail.co.uk, mnogosearch/*, disallow, /
dailymail.co.uk, omgilibot/0.3, disallow, /
dailymail.co.uk, webvac, disallow, /
dailymail.co.uk, webzip, disallow, /
dailymail.co.uk, psbot, disallow, /
dailymail.co.uk, daumoa, disallow, /
